Region,Country,ISO Code,RE or Non-RE,Group Technology,Technology,Poducer Type,Year,Electricity Installed Capacity (MW)
Europe,Lithuania,LTU,Total Renewable,Hydropower (excl. Pumped Storage),Renewable hydropower,On-grid,2017,117
Europe,Lithuania,LTU,Total Renewable,Hydropower (excl. Pumped Storage),Renewable hydropower,On-grid,2018,117
Europe,Lithuania,LTU,Total Renewable,Hydropower (excl. Pumped Storage),Renewable hydropower,On-grid,2019,117
Europe,Lithuania,LTU,Total Renewable,Hydropower (excl. Pumped Storage),Renewable hydropower,On-grid,2020,117
Europe,Lithuania,LTU,Total Renewable,Solar energy,Off-grid Solar photovoltaic,Off-grid,2017,4
Europe,Lithuania,LTU,Total Renewable,Solar energy,Off-grid Solar photovoltaic,Off-grid,2018,10
Europe,Lithuania,LTU,Total Renewable,Solar energy,Off-grid Solar photovoltaic,Off-grid,2019,10
Europe,Lithuania,LTU,Total Renewable,Solar energy,Off-grid Solar photovoltaic,Off-grid,2020,10
Europe,Lithuania,LTU,Total Renewable,Solar energy,On-grid Solar photovoltaic,On-grid,2016,70
Europe,Lithuania,LTU,Total Renewable,Solar energy,On-grid Solar photovoltaic,On-grid,2017,70
Europe,Lithuania,LTU,Total Renewable,Solar energy,On-grid Solar photovoltaic,On-grid,2018,72
Europe,Lithuania,LTU,Total Renewable,Solar energy,On-grid Solar photovoltaic,On-grid,2019,72
Europe,Lithuania,LTU,Total Renewable,Solar energy,On-grid Solar photovoltaic,On-grid,2020,138
Europe,Lithuania,LTU,Total Renewable,Wind energy,Onshore wind energy,On-grid,2016,509
Europe,Lithuania,LTU,Total Renewable,Wind energy,Onshore wind energy,On-grid,2017,518
Europe,Lithuania,LTU,Total Renewable,Wind energy,Onshore wind energy,On-grid,2018,533
Europe,Lithuania,LTU,Total Renewable,Wind energy,Onshore wind energy,On-grid,2019,533
Europe,Lithuania,LTU,Total Renewable,Wind energy,Onshore wind energy,On-grid,2020,539
Europe,Luxembourg,LUX,Total Non-Renewable,Fossil fuels,Fossil fuels,On-grid,2016,105
Europe,Luxembourg,LUX,Total Non-Renewable,Fossil fuels,Fossil fuels,On-grid,2017,86
Europe,Luxembourg,LUX,Total Non-Renewable,Fossil fuels,Fossil fuels,On-grid,2018,86
Europe,Luxembourg,LUX,Total Non-Renewable,Fossil fuels,Fossil fuels,On-grid,2019,88
Europe,Luxembourg,LUX,Total Non-Renewable,Fossil fuels,Fossil fuels,On-grid,2020,88
Europe,Luxembourg,LUX,Total Non-Renewable,Other non-renewable energy,Other non-renewable energy,On-grid,2016,9
Europe,Luxembourg,LUX,Total Non-Renewable,Other non-renewable energy,Other non-renewable energy,On-grid,2017,9
Europe,Luxembourg,LUX,Total Non-Renewable,Other non-renewable energy,Other non-renewable energy,On-grid,2018,9
Europe,Luxembourg,LUX,Total Non-Renewable,Other non-renewable energy,Other non-renewable energy,On-grid,2019,9
Europe,Luxembourg,LUX,Total Non-Renewable,Other non-renewable energy,Other non-renewable energy,On-grid,2020,9
Europe,Luxembourg,LUX,Total Non-Renewable,Pumped storage,Pumped storage,On-grid,2016,1296
Europe,Luxembourg,LUX,Total Non-Renewable,Pumped storage,Pumped storage,On-grid,2017,1296
Europe,Luxembourg,LUX,Total Non-Renewable,Pumped storage,Pumped storage,On-grid,2018,1296
Europe,Luxembourg,LUX,Total Non-Renewable,Pumped storage,Pumped storage,On-grid,2019,1296
Europe,Luxembourg,LUX,Total Non-Renewable,Pumped storage,Pumped storage,On-grid,2020,1296
Europe,Luxembourg,LUX,Total Renewable,Bioenergy,Solid biofuels,On-grid,2016,4
Europe,Luxembourg,LUX,Total Renewable,Bioenergy,Solid biofuels,On-grid,2017,15
Europe,Luxembourg,LUX,Total Renewable,Bioenergy,Solid biofuels,On-grid,2018,15
Europe,Luxembourg,LUX,Total Renewable,Bioenergy,Solid biofuels,On-grid,2019,35
Europe,Luxembourg,LUX,Total Renewable,Bioenergy,Solid biofuels,On-grid,2020,35
Europe,Luxembourg,LUX,Total Renewable,Bioenergy,Biogas,On-grid,2016,12
Europe,Luxembourg,LUX,Total Renewable,Bioenergy,Biogas,On-grid,2017,12
Europe,Luxembourg,LUX,Total Renewable,Bioenergy,Biogas,On-grid,2018,12
Europe,Luxembourg,LUX,Total Renewable,Bioenergy,Biogas,On-grid,2019,12
